support,itemsets
0.265,"frozenset({'FEMALE', 'mortgage_NO', 'current_act_ YES'})"
0.265,"frozenset({'save_act_ YES', 'MALE', 'current_act_ YES'})"
0.265,"frozenset({'Car_NO', 'current_act_ YES', 'children(0_1)'})"
0.265,"frozenset({'Car_NO', 'save_act_ YES', 'current_act_ YES'})"
0.2633333333333333,"frozenset({'Car_NO', 'mortgage_NO', 'current_act_ YES'})"
0.2633333333333333,"frozenset({'mortgage_NO', 'pep_NO', 'current_act_ YES'})"
0.2633333333333333,"frozenset({'age(50.667, 67.0)', 'current_act_ YES'})"
0.2633333333333333,"frozenset({'income(24386.173, 43758.137)', 'children(0_1)'})"
0.2633333333333333,"frozenset({'Car_YES', 'pep_NO'})"
0.26,"frozenset({'pep_NO', 'Married_YES', 'children(0_1)'})"
0.26,"frozenset({'pep_YES', 'current_act_ YES', 'children(0_1)'})"
0.26,"frozenset({'MALE', 'pep_NO'})"
0.25666666666666665,"frozenset({'pep_YES', 'Married_YES'})"
0.25666666666666665,"frozenset({'mortgage_YES', 'current_act_ YES'})"
0.255,"frozenset({'age(34.333, 50.667)', 'current_act_ YES'})"
0.255,"frozenset({'FEMALE', 'current_act_ YES', 'children(0_1)'})"
0.255,"frozenset({'Car_NO', 'FEMALE'})"
0.25333333333333335,"frozenset({'age(50.667, 67.0)', 'children(0_1)'})"
0.25166666666666665,"frozenset({'Car_NO', 'Married_YES', 'current_act_ YES'})"
0.25166666666666665,"frozenset({'Car_NO', 'MALE'})"
0.25166666666666665,"frozenset({'save_act_ YES', 'age(17.951, 34.333)'})"
0.25,"frozenset({'mortgage_YES', 'children(0_1)'})"
0.24833333333333332,"frozenset({'Car_YES', 'MALE'})"
0.24833333333333332,"frozenset({'income(4956.094, 24386.173)', 'MALE'})"
0.24666666666666667,"frozenset({'income(24386.173, 43758.137)', 'mortgage_NO'})"
0.24666666666666667,"frozenset({'income(24386.173, 43758.137)', 'Married_YES'})"
0.245,"frozenset({'MALE', 'current_act_ YES', 'children(0_1)'})"
0.245,"frozenset({'MALE', 'Married_YES', 'current_act_ YES'})"
0.245,"frozenset({'Car_YES', 'FEMALE'})"
0.24333333333333335,"frozenset({'FEMALE', 'Married_YES', 'current_act_ YES'})"
0.24333333333333335,"frozenset({'save_act_ YES', 'pep_NO', 'children(0_1)'})"
0.24333333333333335,"frozenset({'pep_NO', 'INNER_CITY'})"
0.24166666666666667,frozenset({'current_act_ NO'})
0.24,"frozenset({'pep_NO', 'current_act_ YES', 'children(0_1)'})"
0.24,"frozenset({'income(4956.094, 24386.173)', 'Married_YES', 'current_act_ YES'})"
0.24,"frozenset({'MALE', 'pep_YES'})"
0.24,"frozenset({'save_act_ YES', 'Car_YES', 'Married_YES'})"
0.24,"frozenset({'age(17.951, 34.333)', 'current_act_ YES'})"
0.24,"frozenset({'save_act_ YES', 'age(50.667, 67.0)'})"
0.24,"frozenset({'save_act_ YES', 'mortgage_YES'})"
0.23833333333333334,"frozenset({'income(4956.094, 24386.173)', 'current_act_ YES', 'children(0_1)'})"
0.23833333333333334,"frozenset({'mortgage_NO', 'pep_YES', 'current_act_ YES'})"
0.23833333333333334,"frozenset({'Car_YES', 'mortgage_NO', 'current_act_ YES'})"
0.23833333333333334,"frozenset({'income(4956.094, 24386.173)', 'mortgage_NO', 'current_act_ YES'})"
0.23666666666666666,"frozenset({'Car_YES', 'Married_YES', 'current_act_ YES'})"
0.23666666666666666,"frozenset({'mortgage_NO', 'MALE', 'current_act_ YES'})"
0.23666666666666666,"frozenset({'save_act_ YES', 'mortgage_NO', 'Married_YES', 'current_act_ YES'})"
