antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'children(0_1)'}),"frozenset({'age(34.333, 50.667)'})",0.6633333333333333,0.325,0.20833333333333334,0.314070351758794,0.9663703131039815,-0.0072500000000000064,0.9840659340659341
frozenset({'save_act_ YES'}),"frozenset({'pep_NO', 'Married_YES', 'current_act_ YES'})",0.69,0.295,0.21666666666666667,0.31400966183574885,1.0644395316466064,0.013116666666666693,1.027711267605634
frozenset({'current_act_ YES'}),"frozenset({'Car_YES', 'Married_YES'})",0.7583333333333333,0.3233333333333333,0.23666666666666666,0.3120879120879121,0.9652203466636458,-0.008527777777777745,0.9836528221512248
frozenset({'current_act_ YES'}),"frozenset({'mortgage_NO', 'MALE'})",0.7583333333333333,0.31,0.23666666666666666,0.3120879120879121,1.0067352002835874,0.0015833333333333532,1.003035143769968
frozenset({'current_act_ YES'}),"frozenset({'save_act_ YES', 'mortgage_NO', 'Married_YES'})",0.7583333333333333,0.30666666666666664,0.23666666666666666,0.3120879120879121,1.0176779741997135,0.004111111111111149,1.007880724174654
frozenset({'save_act_ YES'}),"frozenset({'Car_NO', 'mortgage_NO'})",0.69,0.3283333333333333,0.215,0.3115942028985507,0.9490178768483779,-0.011549999999999977,0.9756842105263158
frozenset({'Married_YES'}),"frozenset({'mortgage_NO', 'MALE'})",0.66,0.31,0.205,0.31060606060606055,1.0019550342130985,0.0003999999999999837,1.0008791208791208
frozenset({'current_act_ YES'}),"frozenset({'Car_YES', 'children(0_1)'})",0.7583333333333333,0.31833333333333336,0.235,0.3098901098901099,0.9734767849951096,-0.006402777777777813,0.9877653927813164
frozenset({'mortgage_NO'}),"frozenset({'income(4956.094, 24386.173)', 'children(0_1)'})",0.6516666666666666,0.31833333333333336,0.20166666666666666,0.309462915601023,0.972134813406355,-0.0057805555555555665,0.9871543209876543
frozenset({'mortgage_NO'}),frozenset({'save_act_ NO'}),0.6516666666666666,0.31,0.20166666666666666,0.309462915601023,0.9982674696807194,-0.0003499999999999892,0.9992222222222221
frozenset({'save_act_ YES'}),"frozenset({'mortgage_NO', 'pep_YES'})",0.69,0.30333333333333334,0.21333333333333335,0.3091787439613527,1.019270584487976,0.004033333333333361,1.0084615384615385
frozenset({'save_act_ YES'}),frozenset({'TOWN'}),0.69,0.28833333333333333,0.21333333333333335,0.3091787439613527,1.072296221831281,0.014383333333333359,1.0301748251748253
frozenset({'children(0_1)'}),"frozenset({'save_act_ YES', 'pep_YES'})",0.6633333333333333,0.29833333333333334,0.205,0.30904522613065327,1.0359057859128042,0.007105555555555532,1.0155030303030304
frozenset({'current_act_ YES'}),"frozenset({'save_act_ YES', 'pep_YES'})",0.7583333333333333,0.29833333333333334,0.23333333333333334,0.3076923076923077,1.0313708637730985,0.007097222222222227,1.0135185185185185
frozenset({'mortgage_NO'}),"frozenset({'save_act_ YES', 'pep_NO', 'Married_YES'})",0.6516666666666666,0.2916666666666667,0.2,0.30690537084398983,1.0522469857508223,0.009930555555555581,1.0219864698646985
frozenset({'mortgage_NO'}),"frozenset({'pep_NO', 'children(0_1)'})",0.6516666666666666,0.32,0.2,0.30690537084398983,0.9590792838874682,-0.00853333333333331,0.9811070110701107
frozenset({'current_act_ YES'}),"frozenset({'INNER_CITY', 'children(0_1)'})",0.7583333333333333,0.31,0.23166666666666666,0.3054945054945055,0.9854661467564694,-0.003416666666666651,0.9935126582278481
frozenset({'children(0_1)'}),"frozenset({'age(17.951, 34.333)'})",0.6633333333333333,0.31833333333333336,0.20166666666666666,0.30402010050251255,0.9550369649293587,-0.009494444444444472,0.9794344163658242
frozenset({'children(0_1)'}),"frozenset({'income(4956.094, 24386.173)', 'mortgage_NO'})",0.6633333333333333,0.31333333333333335,0.20166666666666666,0.30402010050251255,0.9702769164973805,-0.006177777777777782,0.9866185318892898
frozenset({'current_act_ YES'}),"frozenset({'age(34.333, 50.667)', 'income(4956.094, 24386.173)'})",0.7583333333333333,0.29,0.23,0.30329670329670333,1.045850701023115,0.01008333333333336,1.0190851735015773
frozenset({'Married_YES'}),"frozenset({'save_act_ YES', 'mortgage_NO', 'pep_NO'})",0.66,0.23666666666666666,0.2,0.30303030303030304,1.2804097311139566,0.043800000000000006,1.0952173913043477
frozenset({'Married_YES'}),"frozenset({'save_act_ YES', 'INNER_CITY'})",0.66,0.28833333333333333,0.2,0.30303030303030304,1.0509721492380453,0.009700000000000014,1.021086956521739
frozenset({'children(0_1)'}),"frozenset({'mortgage_NO', 'pep_NO'})",0.6633333333333333,0.34833333333333333,0.2,0.30150753768844224,0.8655718785314132,-0.031061111111111095,0.9329616306954436
frozenset({'save_act_ YES'}),"frozenset({'income(24386.173, 43758.137)', 'current_act_ YES'})",0.69,0.295,0.20666666666666667,0.2995169082125604,1.0153115532629167,0.0031166666666666842,1.006448275862069
frozenset({'current_act_ YES'}),"frozenset({'save_act_ YES', 'INNER_CITY'})",0.7583333333333333,0.28833333333333333,0.22666666666666666,0.2989010989010989,1.0366512100616148,0.008013888888888876,1.015073145245559
frozenset({'current_act_ YES'}),"frozenset({'INNER_CITY', 'Married_YES'})",0.7583333333333333,0.2966666666666667,0.22666666666666666,0.2989010989010989,1.007531794048648,0.0016944444444444151,1.0031870428422154
frozenset({'current_act_ YES'}),frozenset({'save_act_ NO'}),0.7583333333333333,0.31,0.22666666666666666,0.2989010989010989,0.9641970932293513,-0.008416666666666656,0.9841692789968652
frozenset({'current_act_ YES'}),"frozenset({'mortgage_NO', 'INNER_CITY'})",0.7583333333333333,0.2916666666666667,0.22666666666666666,0.2989010989010989,1.0248037676609105,0.0054861111111110805,1.0103187042842214
frozenset({'save_act_ YES'}),"frozenset({'pep_YES', 'children(0_1)'})",0.69,0.3433333333333333,0.205,0.2971014492753623,0.8653440270156184,-0.031899999999999984,0.9342268041237114
frozenset({'current_act_ YES'}),"frozenset({'save_act_ YES', 'Married_YES', 'children(0_1)'})",0.7583333333333333,0.30666666666666664,0.225,0.2967032967032967,0.9675107501194459,-0.00755555555555551,0.9858333333333335
frozenset({'save_act_ YES'}),"frozenset({'pep_NO', 'FEMALE'})",0.69,0.2833333333333333,0.20333333333333334,0.2946859903381643,1.040068201193521,0.007833333333333359,1.016095890410959
frozenset({'current_act_ YES'}),"frozenset({'save_act_ YES', 'mortgage_NO', 'children(0_1)'})",0.7583333333333333,0.2783333333333333,0.22333333333333333,0.2945054945054945,1.058103573073633,0.012263888888888907,1.0229231568016617
frozenset({'current_act_ YES'}),"frozenset({'mortgage_NO', 'Married_YES', 'children(0_1)'})",0.7583333333333333,0.2866666666666667,0.22166666666666668,0.2923076923076923,1.0196779964221825,0.004277777777777797,1.0079710144927538
frozenset({'current_act_ YES'}),"frozenset({'save_act_ YES', 'income(4956.094, 24386.173)'})",0.7583333333333333,0.285,0.22,0.29010989010989013,1.0179294389820708,0.0038750000000000173,1.0071981424148608
frozenset({'current_act_ YES'}),"frozenset({'income(4956.094, 24386.173)', 'pep_NO'})",0.7583333333333333,0.29333333333333333,0.22,0.29010989010989013,0.989010989010989,-0.0024444444444444435,0.9954592363261096
frozenset({'save_act_ YES'}),"frozenset({'mortgage_NO', 'pep_NO', 'Married_YES'})",0.69,0.285,0.2,0.2898550724637682,1.0170353419781342,0.0033500000000000474,1.0068367346938778
frozenset({'save_act_ YES'}),"frozenset({'INNER_CITY', 'Married_YES'})",0.69,0.2966666666666667,0.2,0.2898550724637682,0.9770395701025893,-0.004699999999999982,0.9904081632653062
frozenset({'current_act_ YES'}),"frozenset({'save_act_ YES', 'pep_NO', 'Married_YES'})",0.7583333333333333,0.2916666666666667,0.21666666666666667,0.28571428571428575,0.979591836734694,-0.004513888888888901,0.9916666666666667
frozenset({'current_act_ YES'}),"frozenset({'mortgage_NO', 'pep_NO', 'Married_YES'})",0.7583333333333333,0.285,0.215,0.2835164835164835,0.9947946790052054,-0.0011249999999999871,0.9979294478527608
frozenset({'current_act_ YES'}),frozenset({'TOWN'}),0.7583333333333333,0.28833333333333333,0.21333333333333335,0.2813186813186814,0.975671727116814,-0.005319444444444432,0.9902395514780837
frozenset({'current_act_ YES'}),"frozenset({'pep_NO', 'FEMALE'})",0.7583333333333333,0.2833333333333333,0.21333333333333335,0.2813186813186814,0.992889463477699,-0.001527777777777739,0.9971967380224263
frozenset({'current_act_ YES'}),"frozenset({'Car_NO', 'pep_NO'})",0.7583333333333333,0.28,0.20833333333333334,0.27472527472527475,0.9811616954474097,-0.0040000000000000036,0.9927272727272727
frozenset({'current_act_ YES'}),"frozenset({'save_act_ YES', 'income(24386.173, 43758.137)'})",0.7583333333333333,0.27166666666666667,0.20666666666666667,0.27252747252747256,1.003168610530574,0.0006527777777777799,1.001183282980866
frozenset({'current_act_ YES'}),"frozenset({'Car_NO', 'income(4956.094, 24386.173)'})",0.7583333333333333,0.27,0.20333333333333334,0.2681318681318681,0.993080993080993,-0.0014166666666666772,0.9974474474474473
frozenset({'current_act_ YES'}),"frozenset({'Car_NO', 'FEMALE'})",0.7583333333333333,0.255,0.2,0.26373626373626374,1.0342598577892697,0.00662500000000002,1.0118656716417909
