Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
3.589,0.9009,0.6261413754052478,5.155,0.8325,1.663,0.5994,0.3894,0.9351,4.889,2.518,0.428,5.238,5.171,1.8771201146171042
3.789,1.082,0.8260581454572911,4.871,0.9033,1.542,0.5688,0.2332,1.08,4.945,2.385,0.587,5.475,5.35,1.9010298454547743
3.556,0.8777,0.38236101023629926,5.361,0.9045,1.633,0.5225,0.2197,1.036,5.007,2.231,0.648,4.949,5.42,1.864896750853025
3.589,0.9387,0.4776799765480336,4.874,0.8936,1.79,0.5554,0.4248,1.069,5.039,2.444,0.867,5.062,5.667,1.9135149980456692
3.551,0.9546,0.9331865412235768,4.773,0.896,1.597,0.4541,0.293,0.9009,5.131,2.551,0.674,5.602,5.449,1.8923988784352985
3.469,0.9216,0.9525877467560534,4.797,0.8008,1.525,0.553,0.1819,0.7971,5.052,2.368,0.0,5.625,4.686,1.7848323122296712
3.7,0.8252,0.8530511270676937,4.753,0.7324,1.417,0.4541,0.3491,0.9131,5.063,2.406,0.588,5.507,5.352,1.8378292605889746
3.531,1.016,0.7417050779247834,5.055,0.7434,1.464,0.4358,0.3552,0.7971,5.072,2.489,0.889,5.375,5.692,1.8824337564937321
1.361,1.914,-1.208537843426801,2.565,0.1831,0.1062,0.2576,0.1672,0.08545,0.9448,0.9509,0.89,3.063,5.693,0.6847260130477665
1.39,1.924,-1.3494074662060895,2.423,0.2185,0.188,0.1111,0.07935,0.1892,0.9216,0.9912,0.844,2.896,5.641,0.6608785444828258
1.404,1.907,-1.30132621771256,2.278,0.1953,0.07202,0.2625,0.1013,0.2808,1.023,0.9277,0.314,2.953,5.042,0.6220244818572866
1.473,1.816,-1.082008242128039,2.388,0.3198,0.3784,0.06958,-0.002441,0.1953,0.9155,1.039,0.718,3.213,5.499,0.6856775631559966
1.306,1.687,-1.0642940979462125,2.6,0.2698,0.188,0.02808,0.07324,0.3699,0.8936,1.044,0.158,3.234,4.865,0.629443825171149
1.553,1.808,-1.1747966164137977,2.679,0.1697,0.1526,0.271,0.1453,0.1904,0.918,0.9277,0.473,3.103,5.222,0.6760752819655168
