Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
3.151,2.317,-0.9605398248812275,3.575,0.1599,0.08179,0.2661,0.1807,0.199,1.107,1.051,0.053,3.357,4.746,0.9317458479265643
3.923,2.207,-0.5666109995044155,4.642,0.6702,0.3186,0.4956,0.2136,0.4333,1.167,0.9119,0.428,3.824,5.17,1.2369657500412987
4.102,2.019,0.24064785678168574,5.681,1.282,0.426,0.8521,0.3638,0.8264,1.251,1.205,0.458,4.781,5.204,1.5589123213984735
4.435,2.086,0.18413130153490598,5.864,1.707,0.7373,0.791,0.4675,1.467,1.467,1.31,0.943,4.714,5.754,1.7882442751279086
4.103,1.963,0.6590390717429256,5.878,1.842,0.9705,0.8752,0.5347,1.912,1.81,2.312,0.208,5.277,4.922,1.9222865893119103
4.457,1.788,0.8370240442365178,5.916,2.103,1.232,1.025,0.5664,2.081,3.182,5.317,0.35,5.488,5.082,2.40453533701971
4.515,1.779,0.9652407068859293,5.953,2.219,1.401,1.147,0.4736,2.206,5.111,5.526,0.787,5.64,5.577,2.673570058907161
4.258,1.761,1.0816479400807901,5.916,2.175,1.602,1.058,0.5981,2.228,5.15,5.244,0.643,5.778,5.414,2.6428956616733994
4.493,1.698,1.0563420198210383,5.886,2.383,1.676,1.202,0.4077,2.456,5.004,5.393,0.009,5.748,4.696,2.63867016831842
4.563,1.627,1.0791173480548157,5.979,2.294,1.848,0.9766,0.6555,2.311,5.061,5.503,0.951,5.775,5.763,2.737351445671235
4.392,1.51,0.6573520103922758,5.972,2.551,1.915,1.184,0.5615,2.307,5.0,5.447,0.957,5.275,5.769,2.7044876675326894
4.409,1.44,0.8125616546520897,5.972,2.482,2.002,1.007,0.5774,2.382,5.198,5.463,0.613,5.459,5.38,2.696496804554341
4.398,1.539,0.7931604491196133,5.962,2.573,2.04,1.013,0.7031,2.462,5.105,5.261,0.345,5.436,5.076,2.6828550374266342
4.441,1.538,0.7552015687299847,5.959,2.616,2.136,1.195,0.6311,2.561,5.105,5.538,0.148,5.391,4.854,2.7186084640608326
4.419,1.458,1.1052667989898928,5.886,2.572,2.029,1.244,0.6555,2.395,5.106,5.403,0.746,5.806,5.53,2.7515638999158245
4.578,1.421,0.751827446028684,5.975,2.754,2.129,1.144,0.7983,2.468,5.087,5.426,0.4,5.387,5.139,2.7443439538357235
4.562,1.345,1.1204503511457442,5.948,2.507,2.118,1.162,0.5127,2.346,5.125,5.321,0.315,5.824,5.043,2.698512529262145
4.427,1.167,0.9011323755612235,5.963,2.603,2.203,1.113,0.6995,2.394,5.002,5.424,0.629,5.564,5.398,2.710469364630102
4.57,1.323,0.7627933448079107,5.977,2.527,2.108,0.9351,0.6445,2.448,5.033,5.566,0.066,5.4,4.761,2.663366112067326
4.443,1.284,0.7627933448079107,5.907,2.524,2.183,1.198,0.5896,2.5,5.074,5.492,0.732,5.4,5.515,2.7241161120673265
4.421,1.348,1.1381644953275707,5.911,2.483,2.183,1.14,0.7788,2.393,5.155,5.548,0.733,5.845,5.516,2.7693303746106306
4.526,1.177,1.055498489145713,5.896,2.365,2.009,1.266,0.697,2.468,5.144,5.309,0.0,5.747,4.686,2.6593748740954757
4.52,1.097,0.9382477252755267,6.011,2.555,2.217,1.21,0.6018,2.422,5.088,5.385,0.718,5.608,5.499,2.730253977106294
4.348,1.116,0.9770501363404805,5.956,2.478,2.257,1.217,0.6409,2.336,5.071,5.616,0.906,5.654,5.712,2.7432458446950396
4.705,1.207,0.9812677897171059,5.931,2.583,2.231,1.145,0.7458,2.505,5.062,5.297,0.958,5.659,5.77,2.7792556491430918
4.615,1.224,0.9770501363404805,6.011,2.488,2.2,1.147,0.5481,2.532,5.009,5.314,0.737,5.654,5.52,2.7335125113617065
4.373,1.079,1.0926138388600168,5.927,2.516,2.123,1.156,0.5579,2.469,4.988,5.38,0.933,5.791,5.742,2.716209486571668
4.507,1.078,0.7408615472494581,5.906,2.48,2.233,1.118,0.6995,2.399,5.063,5.414,0.585,5.374,5.348,2.685280128937455
4.443,1.03,1.077430286704165,5.951,2.489,2.106,1.115,0.5103,2.406,5.154,5.482,0.723,5.773,5.504,2.7072275238920134
4.702,1.111,1.0563420198210383,6.013,2.529,2.109,1.146,0.6116,2.471,5.01,5.409,0.928,5.748,5.737,2.7579951683184194
4.592,1.144,0.8108745933014398,5.876,2.294,2.189,1.169,0.5493,2.379,5.046,5.273,0.672,5.457,5.447,2.6661812161084533
4.67,1.127,0.9382477252755267,5.925,2.362,2.292,1.116,0.5151,2.537,5.148,5.438,0.644,5.608,5.415,2.7260289771062935
4.43,1.075,1.1584092315353727,5.874,2.458,2.037,1.117,0.6384,2.283,5.081,5.599,0.723,5.869,5.505,2.7061507692946147
4.498,1.056,1.085022062782091,5.89,2.432,2.159,1.199,0.6897,2.415,5.083,5.251,0.648,5.782,5.419,2.7004768385651743
4.637,1.08,0.9854854430937312,5.931,2.399,2.061,1.104,0.5688,2.466,5.267,5.269,0.156,5.664,4.863,2.6603571202578107
4.562,1.167,0.8201534307300158,5.985,2.483,2.109,1.201,0.5603,2.411,5.067,5.51,0.32,5.468,5.048,2.682954452560835
4.576,1.067,0.9382477252755267,5.906,2.4,2.073,1.152,0.7031,2.262,4.939,5.453,0.144,5.608,4.849,2.63444564377296
4.677,1.089,1.1398515566782215,5.937,2.38,2.058,1.144,0.6433,2.256,5.146,5.508,0.546,5.847,5.304,2.7103459630565183
4.482,1.028,0.7315827098208828,5.924,2.268,2.114,1.108,0.6482,2.355,5.126,5.425,0.296,5.363,5.021,2.6254818924850736
4.55,0.9778,0.9163159277170748,5.947,2.544,2.068,1.118,0.5579,2.354,4.973,5.339,0.761,5.582,5.547,2.6755013273097563
4.446,1.066,0.7999086945222139,5.929,2.361,2.111,1.036,0.6812,2.423,5.024,5.288,0.794,5.444,5.585,2.663259057876852
4.612,1.063,1.1120150443924934,5.9,2.379,2.141,1.068,0.5786,2.288,5.132,5.269,0.751,5.814,5.536,2.6911345870327072
4.563,0.918,0.7864122037170126,5.891,2.34,1.954,1.068,0.6348,2.41,5.033,5.347,0.117,5.428,4.819,2.5885176836430848
4.529,0.9827,0.7644804061585607,5.895,2.39,2.097,1.097,0.5774,2.375,5.11,5.524,0.559,5.402,5.319,2.6583817005132135
4.711,0.9631,1.046219651717137,5.897,2.371,2.068,0.9717,0.6116,2.422,5.029,5.354,0.92,5.736,5.728,2.6970516376430944
